ACACIA_BOAT	Acacia Boat	Bateau en acacia
LEGACY_FLINT_AND_STEEL	Flint and Steel	Briquet
LEGACY_FLOWER_POT	Flower Pot	Pot de fleurs
LEGACY_FROSTED_ICE	Frosted Ice	Glace givrée
LEGACY_FURNACE	Furnace	Fourneau
LEGACY_GHAST_TEAR	Ghast Tear	Larme de Ghast
LEGACY_GLASS	Glass	Verre
LEGACY_GLASS_BOTTLE	Glass Bottle	Fiole
LEGACY_GLOWSTONE	Glowstone	Pierre lumineuse
LEGACY_GLOWSTONE_DUST	Glowstone Dust	Poudre lumineuse
LEGACY_GOLDEN_APPLE	Golden Apple	Pomme dorée
LEGACY_GOLDEN_CARROT	Golden Carrot	Carotte dorée
LEGACY_GOLD_BLOCK	Block of Gold	Bloc d'or
LEGACY_GOLD_INGOT	Gold Ingot	Lingot d'or
LEGACY_GOLD_NUGGET	Gold Nugget	Pépite d'or
LEGACY_GOLD_ORE	Gold Ore	Minerai d'or
LEGACY_GRASS	Grass	Herbe
LEGACY_GRAVEL	Gravel	Gravier
LEGACY_GRAY_GLAZED_TERRACOTTA	Gray Glazed Terracotta	Terre cuite émaillée grise
LEGACY_GRAY_SHULKER_BOX	Gray Shulker Box	Boîte de Shulker grise
LEGACY_GREEN_GLAZED_TERRACOTTA	Green Glazed Terracotta	Terre cuite émaillée verte
LEGACY_GREEN_SHULKER_BOX	Green Shulker Box	Boîte de Shulker verte
LEGACY_HAY_BLOCK	Hay Bale	Botte de paille
LEGACY_HOPPER	Hopper	Entonnoir
LEGACY_HOPPER_MINECART	Minecart with Hopper	Wagonnet à entonnoir
LEGACY_ICE	Ice	Glace
LEGACY_IRON_AXE	Iron Axe	Hache en fer
LEGACY_IRON_BLOCK	Block of Iron	Bloc de fer
LEGACY_IRON_BOOTS	Iron Boots	Bottes en fer
LEGACY_IRON_CHESTPLATE	Iron Chestplate	Plastron en fer
LEGACY_IRON_DOOR	Iron Door	Porte en fer
LEGACY_IRON_HELMET	Iron Helmet	Casque en fer
LEGACY_IRON_HOE	Iron Hoe	Houe en fer
LEGACY_IRON_INGOT	Iron Ingot	Lingot de fer
LEGACY_IRON_LEGGINGS	Iron Leggings	Jambières en fer
LEGACY_IRON_NUGGET	Iron Nugget	Pépite de fer
LEGACY_IRON_ORE	Iron Ore	Minerai de fer
LEGACY_IRON_PICKAXE	Iron Pickaxe	Pioche en fer
LEGACY_IRON_SWORD	Iron Sword	Épée en fer
LEGACY_IRON_TRAPDOOR	Iron Trapdoor	Trappe en fer
LEGACY_ITEM_FRAME	Item Frame	Cadre
LEGACY_JACK_O_LANTERN	Jack o'Lantern	Citrouille-lanterne
LEGACY_JUKEBOX	Jukebox	Jukebox
LEGACY_JUNGLE_DOOR	Jungle Door	Porte en acajou
LEGACY_JUNGLE_FENCE	Jungle Fence	Barrière en acajou
LEGACY_JUNGLE_FENCE_GATE	Jungle Fence Gate	Portillon en acajou
LEGACY_KNOWLEDGE_BOOK	Knowledge Book	Livre des connaissances
LEGACY_LADDER	Ladder	Échelle
LEGACY_LAPIS_BLOCK	Block of Lapis Lazuli	Bloc de lapis-lazuli
LEGACY_LAPIS_ORE	Lapis Lazuli Ore	Minerai de lapis-lazuli
LEGACY_LAVA	Lava	Lave
LEGACY_LAVA_BUCKET	Lava Bucket	Seau de lave
LEGACY_LEATHER	Leather	Cuir
LEGACY_LEATHER_BOOTS	Leather Boots	Bottes en cuir
LEGACY_LEATHER_CHESTPLATE	Leather Tunic	Tunique en cuir
LEGACY_LEATHER_HELMET	Leather Cap	Chapeau en cuir
LEGACY_LEATHER_LEGGINGS	Leather Pants	Pantalon en cuir
LEGACY_LEVER	Lever	Levier
LEGACY_LIGHT_BLUE_GLAZED_TERRACOTTA	Light Blue Glazed Terracotta	Terre cuite émaillée bleu clair
LEGACY_LIGHT_BLUE_SHULKER_BOX	Light Blue Shulker Box	Boîte de Shulker bleu clair
LEGACY_LIME_GLAZED_TERRACOTTA	Lime Glazed Terracotta	Terre cuite émaillée vert clair
LEGACY_LIME_SHULKER_BOX	Lime Shulker Box	Boîte de Shulker vert clair
LEGACY_LINGERING_POTION	Lingering Potion	Potion persistante
LEGACY_MAGENTA_GLAZED_TERRACOTTA	Magenta Glazed Terracotta	Terre cuite émaillée magenta
LEGACY_MAGENTA_SHULKER_BOX	Magenta Shulker Box	Boîte de Shulker magenta
LEGACY_MAGMA_CREAM	Magma Cream	Crème de magma
LEGACY_MAP	Empty Map	Carte vierge
LEGACY_MELON	Melon	Pastèque
LEGACY_MELON_SEEDS	Melon Seeds	Graines de pastèque
LEGACY_MELON_STEM	Melon Stem	Tige de pastèque
LEGACY_MILK_BUCKET	Milk Bucket	Seau de lait
LEGACY_MINECART	Minecart	Wagonnet
LEGACY_MOSSY_COBBLESTONE	Mossy Cobblestone	Pierres moussues
LEGACY_MUTTON	Raw Mutton	Mouton cru
LEGACY_NAME_TAG	Name Tag	Étiquette
LEGACY_NETHERRACK	Netherrack	Netherrack
LEGACY_NETHER_BRICK	Nether Brick	Brique du Nether
LEGACY_NETHER_BRICK_STAIRS	Nether Brick Stairs	Escalier en briques du Nether
LEGACY_NETHER_STAR	Nether Star	Étoile du Nether
LEGACY_NETHER_WART_BLOCK	Nether Wart Block	Bloc de verrues du Nether
LEGACY_NOTE_BLOCK	Note Block	Bloc musical
LEGACY_OBSERVER	Observer	Observateur
LEGACY_OBSIDIAN	Obsidian	Obsidienne
LEGACY_ORANGE_GLAZED_TERRACOTTA	Orange Glazed Terracotta	Terre cuite émaillée orange
LEGACY_ORANGE_SHULKER_BOX	Orange Shulker Box	Boîte de Shulker orange
LEGACY_PACKED_ICE	Packed Ice	Glace compactée
LEGACY_PAINTING	Painting	Tableau
LEGACY_PAPER	Paper	Papier
LEGACY_PINK_GLAZED_TERRACOTTA	Pink Glazed Terracotta	Terre cuite émaillée rose
LEGACY_PINK_SHULKER_BOX	Pink Shulker Box	Boîte de Shulker rose
LEGACY_POISONOUS_POTATO	Poisonous Potato	Pomme de terre empoisonnée
LEGACY_POTATO	Potato	Pomme de terre
LEGACY_POTION	Potion	Potion
LEGACY_POWERED_RAIL	Powered Rail	Rails de propulsion
LEGACY_PRISMARINE	Prismarine	Prismarine
LEGACY_PRISMARINE_CRYSTALS	Prismarine Crystals	Cristaux de prismarine
LEGACY_PRISMARINE_SHARD	Prismarine Shard	Éclat de prismarine
LEGACY_PUMPKIN	Pumpkin	Citrouille
LEGACY_PUMPKIN_PIE	Pumpkin Pie	Tarte à la citrouille
LEGACY_PUMPKIN_SEEDS	Pumpkin Seeds	Graines de citrouille
LEGACY_PUMPKIN_STEM	Pumpkin Stem	Tige de citrouille
LEGACY_PURPLE_GLAZED_TERRACOTTA	Purple Glazed Terracotta	Terre cuite émaillée violette
LEGACY_PURPLE_SHULKER_BOX	Purple Shulker Box	Boîte de Shulker violette
LEGACY_PURPUR_BLOCK	Purpur Block	Bloc de purpur
LEGACY_PURPUR_PILLAR	Purpur Pillar	Pilier de purpur
LEGACY_PURPUR_SLAB	Purpur Slab	Dalle de purpur
LEGACY_PURPUR_STAIRS	Purpur Stairs	Escalier en purpur
LEGACY_QUARTZ	Nether Quartz	Quartz du Nether
LEGACY_QUARTZ_BLOCK	Block of Quartz	Bloc de quartz
LEGACY_QUARTZ_STAIRS	Quartz Stairs	Escalier en quartz
LEGACY_RABBIT	Raw Rabbit	Lapin cru
LEGACY_RABBIT_FOOT	Rabbit's Foot	Patte de lapin
LEGACY_RABBIT_HIDE	Rabbit Hide	Peau de lapin
LEGACY_RABBIT_STEW	Rabbit Stew	Ragoût de lapin
LEGACY_REDSTONE	Redstone Dust	Poudre de redstone
LEGACY_REDSTONE_BLOCK	Block of Redstone	Bloc de redstone
LEGACY_REDSTONE_ORE	Redstone Ore	Minerai de redstone
LEGACY_REDSTONE_WIRE	Redstone Wire	Câble de redstone
LEGACY_RED_GLAZED_TERRACOTTA	Red Glazed Terracotta	Terre cuite émaillée rouge
LEGACY_RED_MUSHROOM	Red Mushroom	Champignon rouge
LEGACY_RED_SANDSTONE	Red Sandstone	Grès rouge
LEGACY_RED_SANDSTONE_STAIRS	Red Sandstone Stairs	Escalier en grès rouge
LEGACY_RED_SHULKER_BOX	Red Shulker Box	Boîte de Shulker rouge
LEGACY_ROTTEN_FLESH	Rotten Flesh	Chair putréfiée
LEGACY_SADDLE	Saddle	Selle
LEGACY_SAND	Sand	Sable
LEGACY_SANDSTONE	Sandstone	Grès
LEGACY_SANDSTONE_STAIRS	Sandstone Stairs	Escalier en grès
LEGACY_SEA_LANTERN	Sea Lantern	Lanterne aquatique
LEGACY_SHEARS	Shears	Cisailles
LEGACY_SHIELD	Shield	Bouclier
LEGACY_SHULKER_SHELL	Shulker Shell	Carapace de Shulker
LEGACY_SIGN	Sign	Pancarte
LEGACY_SLIME_BALL	Slimeball	Boule de slime
LEGACY_SLIME_BLOCK	Slime Block	Bloc de slime
LEGACY_SNOW	Snow	Neige
LEGACY_SNOW_BLOCK	Snow Block	Bloc de neige
LEGACY_SOUL_SAND	Soul Sand	Sable des âmes
LEGACY_SPECTRAL_ARROW	Spectral Arrow	Flèche spectrale
LEGACY_SPIDER_EYE	Spider Eye	Oeil d'araignée
LEGACY_SPLASH_POTION	Splash Potion	Potion jetable
LEGACY_SPONGE	Sponge	Éponge
LEGACY_SPRUCE_DOOR	Spruce Door	Porte en sapin
LEGACY_SPRUCE_FENCE	Spruce Fence	Barrière en sapin
LEGACY_SPRUCE_FENCE_GATE	Spruce Fence Gate	Portillon en sapin
LEGACY_STICK	Stick	Bâton
LEGACY_STONE	Stone	Roche
LEGACY_STONE_AXE	Stone Axe	Hache en pierre
LEGACY_STONE_BUTTON	Stone Button	Bouton en pierre
LEGACY_STONE_HOE	Stone Hoe	Houe en pierre
LEGACY_STONE_PICKAXE	Stone Pickaxe	Pioche en pierre
LEGACY_STONE_SWORD	Stone Sword	Épée en pierre
LEGACY_STRING	String	Ficelle
LEGACY_STRUCTURE_BLOCK	Structure Block	Bloc de structure
LEGACY_STRUCTURE_VOID	Structure Void	Vide de structure
LEGACY_SUGAR	Sugar	Sucre
LEGACY_SUGAR_CANE	Sugar Cane	Canne à sucre
LEGACY_TIPPED_ARROW	Tipped Arrow	Flèche à effet
LEGACY_TNT	TNT	TNT
LEGACY_TORCH	Torch	Torche
LEGACY_TRAPPED_CHEST	Trapped Chest	Coffre piégé
LEGACY_TRIPWIRE	Tripwire	Fil de déclenchement
LEGACY_TRIPWIRE_HOOK	Tripwire Hook	Crochet
LEGACY_VINE	Vines	Lianes
LEGACY_WATER	Water	Eau
LEGACY_WATER_BUCKET	Water Bucket	Seau d'eau
LEGACY_WHEAT	Wheat	Blé
LEGACY_WHITE_GLAZED_TERRACOTTA	White Glazed Terracotta	Terre cuite émaillée blanche
LEGACY_WHITE_SHULKER_BOX	White Shulker Box	Boîte de Shulker blanche
LEGACY_WRITTEN_BOOK	Written Book	Livre écrit
LEGACY_YELLOW_GLAZED_TERRACOTTA	Yellow Glazed Terracotta	Terre cuite émaillée jaune
LEGACY_YELLOW_SHULKER_BOX	Yellow Shulker Box	Boîte de Shulker jaune
LEVER	Lever	Levier
LIGHT	Light	Lumière
LIGHTNING_ROD	Lightning Rod	Paratonnerre
LIGHT_BLUE_BANNER	Light Blue Banner	Bannière bleu clair
LIGHT_BLUE_BED	Light Blue Bed	Lit bleu clair
LIGHT_BLUE_BUNDLE	Light Blue Bundle	Sac bleu clair
LIGHT_BLUE_CANDLE	Light Blue Candle	Bougie bleu clair
LIGHT_BLUE_CANDLE_CAKE	Cake with Light Blue Candle	Gâteau à bougie bleu clair
LIGHT_BLUE_CARPET	Light Blue Carpet	Tapis bleu clair
LIGHT_BLUE_CONCRETE	Light Blue Concrete	Béton bleu clair
LIGHT_BLUE_CONCRETE_POWDER	Light Blue Concrete Powder	Béton bleu clair en poudre
LIGHT_BLUE_DYE	Light Blue Dye	Teinture bleu clair
LIGHT_BLUE_GLAZED_TERRACOTTA	Light Blue Glazed Terracotta	Terre cuite émaillée bleu clair
LIGHT_BLUE_HARNESS	Light Blue Harness	Harnais bleu clair
LIGHT_BLUE_SHULKER_BOX	Light Blue Shulker Box	Boîte de Shulker bleu clair
LIGHT_BLUE_STAINED_GLASS	Light Blue Stained Glass	Verre bleu clair
LIGHT_BLUE_STAINED_GLASS_PANE	Light Blue Stained Glass Pane	Vitre bleu clair
LIGHT_BLUE_TERRACOTTA	Light Blue Terracotta	Terre cuite bleu clair
LIGHT_BLUE_WOOL	Light Blue Wool	Laine bleu clair
LIGHT_GRAY_BANNER	Light Gray Banner	Bannière gris clair
LIGHT_GRAY_BED	Light Gray Bed	Lit gris clair
LIGHT_GRAY_BUNDLE	Light Gray Bundle	Sac gris clair
LIGHT_GRAY_CANDLE	Light Gray Candle	Bougie gris clair
LIGHT_GRAY_CANDLE_CAKE	Cake with Light Gray Candle	Gâteau à bougie gris clair
LIGHT_GRAY_CARPET	Light Gray Carpet	Tapis gris clair
LIGHT_GRAY_CONCRETE	Light Gray Concrete	Béton gris clair
LIGHT_GRAY_CONCRETE_POWDER	Light Gray Concrete Powder	Béton gris clair en poudre
LIGHT_GRAY_DYE	Light Gray Dye	Teinture gris clair
LIGHT_GRAY_GLAZED_TERRACOTTA	Light Gray Glazed Terracotta	Terre cuite émaillée gris clair
LIGHT_GRAY_HARNESS	Light Gray Harness	Harnais gris clair
LIGHT_GRAY_SHULKER_BOX	Light Gray Shulker Box	Boîte de Shulker gris clair
LIGHT_GRAY_STAINED_GLASS	Light Gray Stained Glass	Verre gris clair
LIGHT_GRAY_STAINED_GLASS_PANE	Light Gray Stained Glass Pane	Vitre gris clair
LIGHT_GRAY_TERRACOTTA	Light Gray Terracotta	Terre cuite gris clair
LIGHT_GRAY_WOOL	Light Gray Wool	Laine gris clair
LIGHT_WEIGHTED_PRESSURE_PLATE	Light Weighted Pressure Plate	Plaque de pression pondérée légère
LILAC	Lilac	Lilas
LILY_OF_THE_VALLEY	Lily of the Valley	Muguet
LILY_PAD	Lily Pad	Nénuphar
LIME_BANNER	Lime Banner	Bannière vert clair
LIME_BED	Lime Bed	Lit vert clair
LIME_BUNDLE	Lime Bundle	Sac vert clair
LIME_CANDLE	Lime Candle	Bougie vert clair
LIME_CANDLE_CAKE	Cake with Lime Candle	Gâteau à bougie vert clair
LIME_CARPET	Lime Carpet	Tapis vert clair
LIME_CONCRETE	Lime Concrete	Béton vert clair
LIME_CONCRETE_POWDER	Lime Concrete Powder	Béton vert clair en poudre
LIME_DYE	Lime Dye	Teinture vert clair
LIME_GLAZED_TERRACOTTA	Lime Glazed Terracotta	Terre cuite émaillée vert clair
LIME_HARNESS	Lime Harness	Harnais vert clair
LIME_SHULKER_BOX	Lime Shulker Box	Boîte de Shulker vert clair
LIME_STAINED_GLASS	Lime Stained Glass	Verre vert clair
LIME_STAINED_GLASS_PANE	Lime Stained Glass Pane	Vitre vert clair
LIME_TERRACOTTA	Lime Terracotta	Terre cuite vert clair
LIME_WOOL	Lime Wool	Laine vert clair
LINGERING_POTION	Lingering Potion	Potion persistante
LLAMA_SPAWN_EGG	Llama Spawn Egg	Oeuf d'apparition de lama
LODESTONE	Lodestone	Magnétite
LOOM	Loom	Métier à tisser
MACE	Mace	Masse
MAGENTA_BANNER	Magenta Banner	Bannière magenta
MAGENTA_BED	Magenta Bed	Lit magenta
MAGENTA_BUNDLE	Magenta Bundle	Sac magenta
MAGENTA_CANDLE	Magenta Candle	Bougie magenta
MAGENTA_CANDLE_CAKE	Cake with Magenta Candle	Gâteau à bougie magenta
MAGENTA_CARPET	Magenta Carpet	Tapis magenta
MAGENTA_CONCRETE	Magenta Concrete	Béton magenta
MAGENTA_CONCRETE_POWDER	Magenta Concrete Powder	Béton magenta en poudre
MAGENTA_DYE	Magenta Dye	Teinture magenta
MAGENTA_GLAZED_TERRACOTTA	Magenta Glazed Terracotta	Terre cuite émaillée magenta
MAGENTA_HARNESS	Magenta Harness	Harnais magenta
MAGENTA_SHULKER_BOX	Magenta Shulker Box	Boîte de Shulker magenta
MAGENTA_STAINED_GLASS	Magenta Stained Glass	Verre magenta
MAGENTA_STAINED_GLASS_PANE	Magenta Stained Glass Pane	Vitre magenta
MAGENTA_TERRACOTTA	Magenta Terracotta	Terre cuite magenta
MAGENTA_WOOL	Magenta Wool	Laine magenta
MAGMA_BLOCK	Magma Block	Bloc de magma
MAGMA_CREAM	Magma Cream	Crème de magma
MAGMA_CUBE_SPAWN_EGG	Magma Cube Spawn Egg	Oeuf d'apparition de cube de magma
MANGROVE_BOAT	Mangrove Boat	Bateau en palétuvier
MANGROVE_BUTTON	Mangrove Button	Bouton en palétuvier
MANGROVE_CHEST_BOAT	Mangrove Boat with Chest	Bateau de stockage en palétuvier
MANGROVE_DOOR	Mangrove Door	Porte en palétuvier
MANGROVE_FENCE	Mangrove Fence	Barrière en palétuvier
MANGROVE_FENCE_GATE	Mangrove Fence Gate	Portillon en palétuvier
MANGROVE_HANGING_SIGN	Mangrove Hanging Sign	Pancarte suspendue en palétuvier
MANGROVE_LEAVES	Mangrove Leaves	Feuilles de palétuvier
MANGROVE_LOG	Mangrove Log	Bûche de palétuvier
MANGROVE_PLANKS	Mangrove Planks	Planches de palétuvier
MANGROVE_PRESSURE_PLATE	Mangrove Pressure Plate	Plaque de pression en palétuvier
MANGROVE_PROPAGULE	Mangrove Propagule	Propagule de palétuvier
MANGROVE_ROOTS	Mangrove Roots	Racines de palétuvier
MANGROVE_SHELF	Mangrove Shelf	Étagère en palétuvier
MANGROVE_SIGN	Mangrove Sign	Pancarte en palétuvier
MANGROVE_SLAB	Mangrove Slab	Dalle en palétuvier
MANGROVE_STAIRS	Mangrove Stairs	Escalier en palétuvier
MANGROVE_TRAPDOOR	Mangrove Trapdoor	Trappe en palétuvier
MANGROVE_WALL_HANGING_SIGN	Mangrove Wall Hanging Sign	Pancarte suspendue en palétuvier murale
MANGROVE_WALL_SIGN	Mangrove Wall Sign	Pancarte en palétuvier murale
MANGROVE_WOOD	Mangrove Wood	Bois de palétuvier
MAP	Empty Map	Carte vierge
MEDIUM_AMETHYST_BUD	Medium Amethyst Bud	Cristal moyen d'améthyste
MELON	Melon	Pastèque
MELON_SEEDS	Melon Seeds	Graines de pastèque
MELON_SLICE	Melon Slice	Tranche de pastèque
MELON_STEM	Melon Stem	Tige de pastèque
MILK_BUCKET	Milk Bucket	Seau de lait
MINECART	Minecart	Wagonnet
MINER_POTTERY_SHERD	Miner Pottery Sherd	Tesson de poterie de mineur
MOJANG_BANNER_PATTERN	Banner Pattern	Motif de bannière
MOOSHROOM_SPAWN_EGG	Mooshroom Spawn Egg	Oeuf d'apparition de Mooshroom
MOSSY_COBBLESTONE	Mossy Cobblestone	Pierres moussues
MOSSY_COBBLESTONE_SLAB	Mossy Cobblestone Slab	Dalle de pierres moussues
MOSSY_COBBLESTONE_STAIRS	Mossy Cobblestone Stairs	Escalier en pierres moussues
MOSSY_COBBLESTONE_WALL	Mossy Cobblestone Wall	Muret de pierres moussues
MOSSY_STONE_BRICKS	Mossy Stone Bricks	Pierre taillée moussue
MOSSY_STONE_BRICK_SLAB	Mossy Stone Brick Slab	Dalle de pierre taillée moussue
MOSSY_STONE_BRICK_STAIRS	Mossy Stone Brick Stairs	Escalier en pierre taillée moussue
MOSSY_STONE_BRICK_WALL	Mossy Stone Brick Wall	Muret de pierre taillée moussue
MOSS_BLOCK	Moss Block	Bloc de mousse
MOSS_CARPET	Moss Carpet	Tapis de mousse
MOURNER_POTTERY_SHERD	Mourner Pottery Sherd	Tesson de poterie de pleureur
MOVING_PISTON	Moving Piston	Bloc en mouvement
MUD	Mud	Boue
MUDDY_MANGROVE_ROOTS	Muddy Mangrove Roots	Racines de palétuvier boueuses
MUD_BRICKS	Mud Bricks	Briques de terre crue
MUD_BRICK_SLAB	Mud Brick Slab	Dalle de briques de terre crue
MUD_BRICK_STAIRS	Mud Brick Stairs	Escalier en briques de terre crue
MUD_BRICK_WALL	Mud Brick Wall	Muret de briques de terre crue
MULE_SPAWN_EGG	Mule Spawn Egg	Oeuf d'apparition de mule
MUSHROOM_STEM	Mushroom Stem	Tige de champignon
MUSHROOM_STEW	Mushroom Stew	Soupe de champignons
MUSIC_DISC_11	Music Disc	Disque
MUSIC_DISC_13	Music Disc	Disque
MUSIC_DISC_5	Music Disc	Disque
MUSIC_DISC_BLOCKS	Music Disc	Disque
MUSIC_DISC_BOUNCE	Music Disc - Bounce	Disque musical - Bounce
MUSIC_DISC_CAT	Music Disc	Disque
MUSIC_DISC_CHIRP	Music Disc	Disque
MUSIC_DISC_CREATOR	Music Disc	Disque
MUSIC_DISC_CREATOR_MUSIC_BOX	Music Disc	Disque
MUSIC_DISC_FAR	Music Disc	Disque
MUSIC_DISC_LAVA_CHICKEN	Music Disc	Disque
MUSIC_DISC_MALL	Music Disc	Disque
MUSIC_DISC_MELLOHI	Music Disc	Disque
MUSIC_DISC_OTHERSIDE	Music Disc	Disque
MUSIC_DISC_PIGSTEP	Music Disc	Disque
MUSIC_DISC_PRECIPICE	Music Disc	Disque
MUSIC_DISC_RELIC	Music Disc	Disque
MUSIC_DISC_STAL	Music Disc	Disque
MUSIC_DISC_STRAD	Music Disc	Disque
MUSIC_DISC_TEARS	Music Disc	Disque
MUSIC_DISC_WAIT	Music Disc	Disque
MUSIC_DISC_WARD	Music Disc	Disque
MUTTON	Raw Mutton	Mouton cru
MYCELIUM	Mycelium	Mycélium
NAME_TAG	Name Tag	Étiquette
NAUTILUS_SHELL	Nautilus Shell	Coquille de nautile
NAUTILUS_SPAWN_EGG	Nautilus Spawn Egg	Oeuf d'apparition de nautile
NETHERITE_AXE	Netherite Axe	Hache en Netherite
NETHERITE_BLOCK	Block of Netherite	Bloc de Netherite
NETHERITE_BOOTS	Netherite Boots	Bottes en Netherite
NETHERITE_CHESTPLATE	Netherite Chestplate	Plastron en Netherite
NETHERITE_HELMET	Netherite Helmet	Casque en Netherite
NETHERITE_HOE	Netherite Hoe	Houe en Netherite
NETHERITE_HORSE_ARMOR	Netherite Horse Armor	Armure en Netherite pour cheval
NETHERITE_INGOT	Netherite Ingot	Lingot de Netherite
NETHERITE_LEGGINGS	Netherite Leggings	Jambières en Netherite
NETHERITE_NAUTILUS_ARMOR	Netherite Nautilus Armor	Armure en Netherite pour nautile
NETHERITE_PICKAXE	Netherite Pickaxe	Pioche en Netherite
NETHERITE_SCRAP	Netherite Scrap	Fragments de Netherite
NETHERITE_SHOVEL	Netherite Shovel	Pelle en Netherite
NETHERITE_SPEAR	Netherite Spear	Lance en Netherite
NETHERITE_SWORD	Netherite Sword	Épée en Netherite
NETHERITE_UPGRADE_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
NETHERRACK	Netherrack	Netherrack
NETHER_BRICK	Nether Brick	Brique du Nether
NETHER_BRICKS	Nether Bricks	Briques du Nether
NETHER_BRICK_FENCE	Nether Brick Fence	Barrière en briques du Nether
NETHER_BRICK_SLAB	Nether Brick Slab	Dalle de briques du Nether
NETHER_BRICK_STAIRS	Nether Brick Stairs	Escalier en briques du Nether
NETHER_BRICK_WALL	Nether Brick Wall	Muret de briques du Nether
NETHER_GOLD_ORE	Nether Gold Ore	Minerai d'or du Nether
NETHER_PORTAL	Nether Portal	Portail du Nether
NETHER_QUARTZ_ORE	Nether Quartz Ore	Minerai de quartz du Nether
NETHER_SPROUTS	Nether Sprouts	Germes du Nether
NETHER_STAR	Nether Star	Étoile du Nether
NETHER_WART	Nether Wart	Verrues du Nether
NETHER_WART_BLOCK	Nether Wart Block	Bloc de verrues du Nether
NOTE_BLOCK	Note Block	Bloc musical
OAK_BOAT	Oak Boat	Bateau en chêne
OAK_BUTTON	Oak Button	Bouton en chêne
OAK_CHEST_BOAT	Oak Boat with Chest	Bateau de stockage en chêne
OAK_DOOR	Oak Door	Porte en chêne
OAK_FENCE	Oak Fence	Barrière en chêne
OAK_FENCE_GATE	Oak Fence Gate	Portillon en chêne
OAK_HANGING_SIGN	Oak Hanging Sign	Pancarte suspendue en chêne
OAK_LEAVES	Oak Leaves	Feuilles de chêne
OAK_LOG	Oak Log	Bûche de chêne
OAK_PLANKS	Oak Planks	Planches de chêne
OAK_PRESSURE_PLATE	Oak Pressure Plate	Plaque de pression en chêne
OAK_SAPLING	Oak Sapling	Pousse de chêne
OAK_SHELF	Oak Shelf	Étagère en chêne
OAK_SIGN	Oak Sign	Pancarte en chêne
OAK_SLAB	Oak Slab	Dalle en chêne
OAK_STAIRS	Oak Stairs	Escalier en chêne
OAK_TRAPDOOR	Oak Trapdoor	Trappe en chêne
OAK_WALL_HANGING_SIGN	Oak Wall Hanging Sign	Pancarte suspendue en chêne murale
OAK_WALL_SIGN	Oak Wall Sign	Pancarte en chêne murale
OAK_WOOD	Oak Wood	Bois de chêne
OBSERVER	Observer	Observateur
OBSIDIAN	Obsidian	Obsidienne
OCELOT_SPAWN_EGG	Ocelot Spawn Egg	Oeuf d'apparition d'ocelot
OCHRE_FROGLIGHT	Ochre Froglight	Grelampe ocrée
OMINOUS_BOTTLE	Ominous Bottle	Fiole funeste
OMINOUS_TRIAL_KEY	Ominous Trial Key	Clé des épreuves funeste
OPEN_EYEBLOSSOM	Open Eyeblossom	Oeilchidée ouverte
ORANGE_BANNER	Orange Banner	Bannière orange
ORANGE_BED	Orange Bed	Lit orange
ORANGE_BUNDLE	Orange Bundle	Sac orange
ORANGE_CANDLE	Orange Candle	Bougie orange
ORANGE_CANDLE_CAKE	Cake with Orange Candle	Gâteau à bougie orange
ORANGE_CARPET	Orange Carpet	Tapis orange
ORANGE_CONCRETE	Orange Concrete	Béton orange
ORANGE_CONCRETE_POWDER	Orange Concrete Powder	Béton orange en poudre
ORANGE_DYE	Orange Dye	Teinture orange
ORANGE_GLAZED_TERRACOTTA	Orange Glazed Terracotta	Terre cuite émaillée orange
ORANGE_HARNESS	Orange Harness	Harnais orange
ORANGE_SHULKER_BOX	Orange Shulker Box	Boîte de Shulker orange
ORANGE_STAINED_GLASS	Orange Stained Glass	Verre orange
ORANGE_STAINED_GLASS_PANE	Orange Stained Glass Pane	Vitre orange
ORANGE_TERRACOTTA	Orange Terracotta	Terre cuite orange
ORANGE_TULIP	Orange Tulip	Tulipe orange
ORANGE_WOOL	Orange Wool	Laine orange
OXEYE_DAISY	Oxeye Daisy	Marguerite
OXIDIZED_CHISELED_COPPER	Oxidized Chiseled Copper	Cuivre sculpté oxydé
OXIDIZED_COPPER	Oxidized Copper	Cuivre oxydé
OXIDIZED_COPPER_BARS	Oxidized Copper Bars	Barreaux de cuivre oxydé
OXIDIZED_COPPER_BULB	Oxidized Copper Bulb	Ampoule en cuivre oxydé
OXIDIZED_COPPER_CHAIN	Oxidized Copper Chain	Chaîne en cuivre oxydé
OXIDIZED_COPPER_CHEST	Oxidized Copper Chest	Coffre en cuivre oxydé
OXIDIZED_COPPER_DOOR	Oxidized Copper Door	Porte en cuivre oxydé
OXIDIZED_COPPER_GOLEM_STATUE	Oxidized Copper Golem Statue	Statue de golem de cuivre oxydé
OXIDIZED_COPPER_GRATE	Oxidized Copper Grate	Grille en cuivre oxydé
OXIDIZED_COPPER_LANTERN	Oxidized Copper Lantern	Lanterne en cuivre oxydé
OXIDIZED_COPPER_TRAPDOOR	Oxidized Copper Trapdoor	Trappe en cuivre oxydé
OXIDIZED_CUT_COPPER	Oxidized Cut Copper	Cuivre taillé oxydé
OXIDIZED_CUT_COPPER_SLAB	Oxidized Cut Copper Slab	Dalle de cuivre taillé oxydé
OXIDIZED_CUT_COPPER_STAIRS	Oxidized Cut Copper Stairs	Escalier en cuivre taillé oxydé
OXIDIZED_LIGHTNING_ROD	Oxidized Lightning Rod	Paratonnerre oxydé
